"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"MaritalStatus1","145","1",17,4340,2.45967741935484,1.1451414998637,2,2.44959677419355,1.4826,1,4,3,0.355797177243104,-1.3760718305547,0.01738258208873
"MaritalStatus2","146","2",17,1200,2.2925,1.12383105797642,2,2.240625,1.4826,1,4,3,0.563704599332714,-1.09659308164804,0.032442208192317
"MaritalStatus3","147","3",17,1313,2.32597105864433,1.0891945680587,2,2.2825880114177,0,1,4,3,0.580226091278688,-1.02304343184232,0.030058901393758
"MaritalStatus4","148","4",17,4237,2.50106207222091,1.17509218699652,2,2.50132704217045,1.4826,1,4,3,0.265815475437017,-1.48591038490532,0.018052722514004
"MaritalStatus5","149","5",17,1711,2.35710111046172,1.16498907494511,2,2.32140248356465,1.4826,1,4,3,0.442387675996561,-1.31010273863634,0.028164162918603
"MaritalStatus6","150","6",17,1074,2.18156424581006,1.00492495167389,2,2.10232558139535,0,1,4,3,0.837055235348102,-0.380745083634931,0.030664189416432
"MaritalStatus7","151","7",17,1484,2.30188679245283,1.14632566048195,2,2.25252525252525,1.4826,1,4,3,0.525299280189564,-1.18455800755156,0.029757131468508
"MaritalStatus8","152","8",17,4202,2.39576392194193,1.15506240077373,2,2.36972040452112,1.4826,1,4,3,0.412006121410067,-1.32756542986073,0.017818757729047
"MaritalStatus9","153","9",17,3971,2.51926466884916,1.17780441393698,2,2.52407932011331,1.4826,1,4,3,0.241488609814411,-1.50751551519065,0.01869059960504
"MonthlyIncome1","154","1",18,4340,3854.55599078341,1500.03159737745,3688,3756.24279953917,1853.9913,1009,7637,6628,0.413359059284511,-0.990835792621805,22.7696074067757
"MonthlyIncome2","155","2",18,1200,17701.7975,1819.43419973529,17779,17885.953125,2174.9742,13212,19973,6761,-0.610259735754069,-0.578823351268766,52.522541249499
"MonthlyIncome3","156","3",18,1313,10312.6854531607,2180.30838490142,9950,10227.6831588963,1952.5842,6652,14852,8200,0.422581233836296,-0.8584053567903,60.1707689991015
"MonthlyIncome4","157","4",18,4237,3924.21784281331,1492.12849503226,3785,3829.71306399292,1675.338,1051,7336,6285,0.42734754652309,-0.780443270706441,22.9232922949693
"MonthlyIncome5","158","5",18,1711,10152.0438340152,1981.79989071788,10209,10068.1943024105,2418.1206,6815,14411,7596,0.306227035097796,-0.85286442757696,47.9109514369282
"MonthlyIncome6","159","6",18,1074,17912.6443202979,1379.22003233899,17924,18017.0895348837,1667.925,13695,19999,6304,-0.743613720237877,0.561620927430929,42.0853957781963
"MonthlyIncome7","160","7",18,1484,10084.1603773585,1751.45945959101,9957,9963.62457912458,1368.4398,7094,14336,7242,0.534277986143009,-0.206012749791488,45.465622202769
"MonthlyIncome8","161","8",18,4202,4035.30580675869,1628.12052127939,3989,3945.44289113623,2062.2966,1081,8224,7143,0.359289562151793,-0.810823652571202,25.1164656584212
"MonthlyIncome9","162","9",18,3971,4118.87106522287,1528.11950948242,4306,4078.54327982373,2088.9834,1009,7484,6475,0.134157212326146,-1.14349086127228,24.2497562094504
"MonthlyRate1","163","1",19,4340,5151.54032258064,1693.14377948797,5141,5157.0051843318,2139.3918,2097,8213,6116,-0.001962660929934,-1.1453842446092,25.7009380399503
"MonthlyRate2","164","2",19,1200,19937.0916666667,3244.72322660628,19562,19770.1927083333,3645.7134,14218,26703,12485,0.326097801367284,-0.783490169966079,93.6670914163484
"MonthlyRate3","165","3",19,1313,14054.1995430312,1922.33019559178,14075,14019.4367269267,2244.6564,10268,18092,7824,0.068372801730616,-0.719692861069639,53.0512504285857
"MonthlyRate4","166","4",19,4237,11221.9558649988,1750.69696499842,11162,11212.065762312,2173.4916,8191,14382,6191,0.047338289898776,-1.15849557253904,26.8956315640275
